,Distance,Received Power,Speed,Azimuth
1,55.36003106628872,-59.8409635716175,2.658533388028988,-0.18844930402152396
2,47.87091753812722,-57.31598063117845,4.295864588259767,-0.03344852382583177
3,28.048051620926728,-45.02333262773292,3.0256175992658494,-0.2764325506772869
4,2.3092205184993606,-4.651726875272463,0.00024985031160048454,-0.8232813829677745
5,4.171224994124265,-14.923655210760252,-1.5326026427541501,-0.41444428754451645
6,7.757960605958139,-25.703013364042203,-1.2768888706548107,-0.27910599898700944
7,21.943848005924544,-43.76562202381348,-4.582128014210471,0.4665201388826837
8,36.4202350716473,-52.56682034872747,-6.7758728716908685,0.04162661363300103
9,51.19692365106207,-58.482865190531996,-6.012770379507272,0.14324554207640555
10,60.0,-61.23916058052244,-8.301025778957309,0.16578915320298404
