,X-Coord,Z-Coord,Bearing,Speed,Current State,,,,,,,,,,,,,,,,,,
30.048,29.14177718,25.4239646,1.250242248,0.116809031,0,,,,,,,,,,,,,,,,,33.3160054,-19.63771291
30.08,29.13440602,25.42599691,1.250302806,0.239426891,0,,,,,,,,,,,,,,,,,33.3096639,-19.63980198
30.112,29.12331407,25.42918097,1.25032995,0.361124785,0,,,,,,,,,,,,,,,,,33.30865865,-19.62880597
30.144,29.10849379,25.43353951,1.250327035,0.483187022,0,,,,,,,,,,,,,,,,,33.30818394,-19.61289085
30.176,29.08990671,25.4391021,1.2502998,0.606644962,0,,,,,,,,,,,,,,,,,33.30814185,-19.59219972
30.208,29.06749083,25.44590513,1.250254118,0.732293368,0,,,,,,,,,,,,,,,,,33.3084306,-19.56685635
30.24,29.04116696,25.45398994,1.250195604,0.860707835,0,,,,,,,,,,,,,,,,,33.30895286,-19.53695862
30.272,29.01084444,25.46340064,1.250129444,0.992263138,0,,,,,,,,,,,,,,,,,33.30961891,-19.5025791
30.304,28.97642628,25.47418213,1.250060244,1.127156439,0,,,,,,,,,,,,,,,,,33.31034947,-19.46376532
30.336,28.93781354,25.48637833,1.249991904,1.26543446,0,,,,,,,,,,,,,,,,,33.31107803,-19.42054021
30.368,28.89490892,25.50003081,1.249927536,1.407022413,0,,,,,,,,,,,,,,,,,33.31175224,-19.37290317
30.4,28.84762059,25.51517758,1.249868741,1.55171846,0,,,,,,,,,,,,,,,,,33.31234797,-19.32080974
30.432,28.79586316,25.5318525,1.249816948,1.699289148,0,,,,,,,,,,,,,,,,,33.31284289,-19.26421732
30.464,28.73956047,25.5500848,1.249772364,1.8494114,0,,,,,,,,,,,,,,,,,33.3132372,-19.20305278
30.496,28.67864413,25.56989909,1.249735557,2.001808611,0,,,,,,,,,,,,,,,,,33.31352245,-19.13726378
30.528,28.61305303,25.59131579,1.249707179,2.156222242,0,,,,,,,,,,,,,,,,,33.31368727,-19.06680888
30.56,28.54273372,25.61435148,1.24968741,2.312386048,0,,,,,,,,,,,,,,,,,33.31372847,-18.99163929
30.592,28.46764045,25.63901915,1.249675968,2.470036715,0,,,,,,,,,,,,,,,,,33.3136509,-18.91169914
30.624,28.38773479,25.66532846,1.249672241,2.628923227,0,,,,,,,,,,,,,,,,,33.31346494,-18.82692957
30.656,28.30298624,25.69328605,1.249674935,2.788780981,0,,,,,,,,,,,,,,,,,33.31319339,-18.73725725
30.688,28.21337097,25.72289578,1.249682833,2.949383965,0,,,,,,,,,,,,,,,,,33.31285687,-18.64261857
30.72,28.11887082,25.75415927,1.249694912,3.110543093,0,,,,,,,,,,,,,,,,,33.31247176,-18.5429622
30.752,28.01947262,25.78707632,1.249710162,3.272090687,0,,,,,,,,,,,,,,,,,33.31205377,-18.43824254
30.784,27.91516718,25.82164531,1.249727917,3.4338961,0,,,,,,,,,,,,,,,,,33.31161191,-18.32842946
30.816,27.80594856,25.85786359,1.249747652,3.595851327,0,,,,,,,,,,,,,,,,,33.31115244,-18.21350098
30.848,27.69181354,25.89572772,1.24976894,3.757868591,0,,,,,,,,,,,,,,,,,33.31067982,-18.09344101
30.88,27.57276109,25.93523371,1.249791427,3.919877748,0,,,,,,,,,,,,,,,,,33.31019718,-17.96823818
30.912,27.44879189,25.97637727,1.249814823,4.081823698,0,,,,,,,,,,,,,,,,,33.30970664,-17.83788484
30.944,27.31990804,26.0191539,1.249838887,4.243663881,0,,,,,,,,,,,,,,,,,33.30920957,-17.70237642
30.976,27.18611268,26.06355908,1.249863428,4.40536596,0,,,,,,,,,,,,,,,,,33.30870671,-17.56171085
