,X-Coord,Z-Coord,Bearing,Speed,Current State
30.048000000000002,29.141777178449463,25.423964604050852,1.2502422484666098,0.11680903138770667,0.0
30.080000000000002,29.134406016879886,25.425996910898544,1.2503028063843595,0.23942689107406215,0.0
30.112000000000002,29.12331406741253,25.429180965655835,1.2503299497156093,0.3611247853794264,0.0
30.144000000000002,29.10849379292897,25.433539511412153,1.2503270351893667,0.48318702232552063,0.0
30.176000000000002,29.089906714157262,25.439102100883538,1.2502997998501053,0.606644961800247,0.0
30.208000000000002,29.067490833244264,25.4459051294712,1.2502541182710407,0.7322933684578777,0.0
30.240000000000002,29.04116695679791,25.453989935001253,1.2501956043570785,0.8607078354339696,0.0
30.272000000000002,29.01084443520203,25.463400638739575,1.2501294440649093,0.9922631376526232,0.0
30.304000000000002,28.976426278503187,25.47418212799395,1.2500602440144943,1.127156439304394,0.0
30.336000000000002,28.937813542093632,25.486378326425854,1.2499919037825713,1.2654344602031526,0.0
30.368000000000002,28.89490891613851,25.500030811197426,1.2499275360447395,1.4070224128446,0.0
30.400000000000002,28.847620591545713,25.515177583430223,1.2498687408342797,1.551718459784295,0.0
30.432000000000002,28.79586315529187,25.531852503280128,1.249816948304452,1.6992891484198958,0.0
30.464000000000002,28.7395604687634,25.550084802628913,1.2497723637307332,1.8494113996493675,0.0
30.496000000000002,28.678644129324276,25.56989908774203,1.2497355565250732,2.0018086107901443,0.0
30.528000000000002,28.61305302721754,25.591315789696317,1.2497071787730059,2.156222242249393,0.0
30.560000000000002,28.542733723948672,25.61435148373786,1.2496874102079072,2.3123860476475757,0.0
30.592000000000002,28.46764044827614,25.6390191459243,1.2496759676695737,2.470036715118034,0.0
30.624000000000002,28.387734790782396,25.66532846365052,1.249672241055595,2.6289232274592504,0.0
30.656000000000002,28.302986235749795,25.693286049444502,1.2496749347551024,2.7887809813988196,0.0
30.688000000000002,28.21337097424575,25.722895779213385,1.249682833157894,2.9493839651239773,0.0
30.72,28.1188708191745,25.754159273657493,1.2496949122102199,3.1105430933016103,0.0
30.752,28.019472623727562,25.787076320923603,1.249710162235005,3.272090686832596,0.0
30.784,27.915167177984067,25.82164531366165,1.2497279166916506,3.4338960995431647,0.0
