,X-Coord,Z-Coord,Bearing,Speed,Current State
30.048000000000002,29.14177717844945,25.423964604050834,1.250242248466612,0.1168090313876797,0.0
30.080000000000002,29.134406016879872,25.425996910898526,1.2503028063843613,0.23942689107406212,0.0
30.112000000000002,29.123314067412515,25.429180965655824,1.250329949715611,0.3611247853794876,0.0
30.144000000000002,29.10849379292895,25.43353951141214,1.2503270351893685,0.4831870223257023,0.0
30.176000000000002,29.08990671415724,25.43910210088353,1.250299799850107,0.6066449618003109,0.0
30.208000000000002,29.06749083324424,25.445905129471186,1.2502541182710425,0.7322933684579196,0.0
30.240000000000002,29.041166956797884,25.453989935001243,1.2501956043570799,0.8607078354340021,0.0
30.272000000000002,29.010844435202003,25.46340063873956,1.2501294440649104,0.9922631376526962,0.0
30.304000000000002,28.976426278503155,25.474182127993938,1.2500602440144957,1.127156439304533,0.0
30.336000000000002,28.937813542093597,25.486378326425843,1.249991903782572,1.2654344602032586,0.0
30.368000000000002,28.894908916138476,25.50003081119742,1.2499275360447404,1.4070224128446334,0.0
30.400000000000002,28.847620591545677,25.515177583430216,1.2498687408342812,1.551718459784295,0.0
30.432000000000002,28.795863155291833,25.53185250328012,1.2498169483044537,1.6992891484198958,0.0
30.464000000000002,28.739560468763365,25.550084802628906,1.2497723637307347,1.8494113996493675,0.0
30.496000000000002,28.67864412932424,25.569899087742023,1.2497355565250754,2.0018086107901443,0.0
30.528000000000002,28.6130530272175,25.591315789696306,1.2497071787730076,2.1562222422494646,0.0
30.560000000000002,28.542733723948626,25.61435148373785,1.249687410207909,2.3123860476477867,0.0
30.592000000000002,28.46764044827609,25.639019145924298,1.249675967669575,2.4700367151182085,0.0
30.624000000000002,28.387734790782343,25.665328463650518,1.249672241055596,2.6289232274593557,0.0
30.656000000000002,28.302986235749735,25.693286049444502,1.2496749347551035,2.7887809813990656,0.0
30.688000000000002,28.213370974245688,25.72289577921339,1.2496828331578949,2.9493839651240124,0.0
30.72,28.11887081917444,25.754159273657493,1.2496949122102212,3.110543093301575,0.0
30.752,28.019472623727502,25.787076320923607,1.2497101622350064,3.272090686832631,0.0
30.784,27.915167177984006,25.82164531366165,1.2497279166916513,3.4338960995431296,0.0
30.816,27.80594855915217,25.857863590555144,1.2497476519337003,3.5958513271469923,0.0
30.848,27.691813542781993,25.895727715296776,1.2497689396219573,3.757868590519233,0.0
30.88,27.572761087173667,25.93523371272914,1.249791426924973,3.919877748183491,0.0
30.912,27.44879189341384,25.97637726861135,1.249814822691756,4.081823697850179,0.0
30.944,27.31990803892966,26.019153897348673,1.2498388874345812,4.243663880711965,0.0
30.976,27.186112679690165,26.06355908095618,1.2498634275833154,4.405365960181566,0.0
31.008,27.047409814357653,26.109588381344263,1.249888293987259,4.566905718196297,0.0
31.04,26.903804102569786,26.157237526864378,1.2499133837041905,4.728265191755525,0.0
31.072,26.75530072903752,26.206502473260272,1.249938643348268,4.889431057285252,0.0
31.104,26.601905305229945,26.25737943900195,1.2499640718930736,5.050393259228795,0.0
31.136,26.44362380102234,26.309864915557526,1.24998972093732,5.211143871041225,0.0
31.168,26.280462499702033,26.36395565440741,1.2500156910256666,5.371676170917585,0.0
31.2,26.112427970998656,26.419648634248183,1.2500421235537897,5.531983910735649,0.0
31.232,25.939527058135223,26.47694101344564,1.2500691888601383,5.692060754501959,0.0
31.264,25.76176687608101,26.53583007390359,1.250097072052366,5.851899861817857,0.0
31.296,25.579154819063277,26.596313162733892,1.2501259586862454,6.011493592253382,0.0
31.328,25.39169857587644,26.65838763727302,1.2501560224491421,6.170833307822472,0.0
31.36,25.199406151632864,26.722050817218165,1.250187416482697,6.32990925279957,0.0
31.392,25.002285894448924,26.787299945362626,1.2502202690547726,6.488710492676995,0.0
31.424,24.800346525338952,26.854132156189273,1.2502546832310364,6.647224896932765,0.0
31.456,24.593597169493528,26.92254445002241,1.2502907393207476,6.805439153142001,0.0
31.488,24.38204738728229,26.992533669930953,1.2503284984404786,6.963338802609059,0.0
31.52,24.165707203772183,27.064096479158678,1.2503680056642226,7.1209082899017115,0.0
31.552,23.944587136194933,27.137229338195667,1.2504092918245941,7.278131020378684,0.0
31.584,23.718698219451635,27.211928482107663,1.250452373847313,7.4349894210765815,0.0
31.616,23.488052030212366,27.288189899784914,1.2504972542182093,7.591465001271578,0.0
31.648,23.25266071032724,27.366009316957378,1.2505439205335727,7.747538409842703,0.0
31.68,23.01253699010707,27.445382184129585,1.2505923459698267,7.903189487335321,0.0
31.712,22.767694211675817,27.52630366938025,1.250642491028678,8.058397311446571,0.0
31.744,22.518146352233682,27.608768654821265,1.2506943063213567,8.21314023545139,0.0
31.776,22.263908046870256,27.6927717349284,1.2507477357323176,8.367395919792585,0.0
31.808,22.00499461060794,27.77830721514744,1.25080271922735,8.521141357523804,0.0
31.84,21.741422059584504,27.86536910996231,1.2508591948382424,8.674352894506391,0.0
31.872,21.473207131556862,27.953951140527483,1.25091709979212,8.827006245232509,0.0
31.904,21.20036730607125,28.044046732538302,1.2509763711170359,8.979076505029091,0.0
31.936,20.92292082461889,28.1356490149986,1.2510369461706459,9.130538159265008,0.0
31.968,20.640886710913403,28.228750820054586,1.251098763385243,9.28136509016959,0.0
32.0,20.354284791205796,28.323344683463304,1.2511617632315797,9.43153058191589,0.0
32.032000000000004,20.06313571442093,28.419422844939042,1.2512258891685406,9.581007324698337,0.0
32.064,19.767460971915245,28.516977247743217,1.2512910882993618,9.729767418539,0.0
32.096000000000004,19.467282916779602,28.61599953732527,1.251357311597194,9.877782377470297,0.0
