,X-Coord,Y-Coord,Bearing,Speed,Current State
52.096000000000004,-332.300521111317,143.63879953145272,1.2633408725201758,20.81543526518094,2.0
52.128,-332.9349022015929,143.84022254323736,1.2632974108984267,20.799716407673117,2.0
52.160000000000004,-333.5687641988059,144.04146755063118,1.263249083972713,20.78257320276743,2.0
52.192,-334.2021145072611,144.2425306740668,1.2632046641060428,20.765611298638078,2.0
52.224000000000004,-334.8350700197949,144.44344398305026,1.263169779123016,20.75243289635374,2.0
52.256,-335.4677032936993,144.64422655249024,1.2631474352392928,20.741595299955065,2.0
52.288000000000004,-336.10023601979617,144.8449443745504,1.2631386087984453,20.737985153308635,2.0
52.32,-336.736895878629,145.0469366336943,1.2631321884657296,20.872966988578526,2.0
52.352000000000004,-337.3786177363216,145.25051476935994,1.2631156654390443,21.03873735788364,2.0
52.384,-338.0257052799732,145.4557666406715,1.2630872033388296,21.214381204604514,2.0
52.416000000000004,-338.67828857208883,145.66273198493732,1.2630479150255673,21.394272587634944,2.0
52.448,-339.3304771533155,145.86949607574937,1.2630254813542487,21.380604476514574,2.0
52.480000000000004,-339.98250301139745,146.0761787962263,1.2630518195303717,21.374988321888587,2.0
52.512,-340.63460315383105,146.28285388500956,1.263121740403331,21.377132238019676,2.0
52.544000000000004,-341.28690192666915,146.48955777227272,1.263220004628918,21.38332488183677,2.0
52.576,-341.93953163579675,146.6963325726252,1.2633325974455063,21.39385542021839,2.0
52.608000000000004,-342.59259888663615,146.9032137566232,1.263448378442196,21.407894978161984,2.0
52.64,-343.2461554994265,147.11021990287077,1.2635592294989337,21.42365223248348,2.0
52.672000000000004,-343.9002601831681,147.31737300320222,1.2636597266536855,21.441365012426882,2.0
52.704,-344.55491013911785,147.52467681090286,1.2637469705627573,21.45902943135365,2.0
52.736000000000004,-345.2100855175425,147.73212929395618,1.263820054225772,21.476083357995783,2.0
52.768,-345.8656589584641,147.93969348337592,1.2638793740289735,21.48899463100806,2.0
52.800000000000004,-346.5215938741067,148.14736127185677,1.2639260680274116,21.500739802661275,2.0
52.832,-347.1778478583394,148.3551224385065,1.263961337012829,21.5111256521936,2.0
52.864000000000004,-347.83437570673095,148.56296503157535,1.2639865128131251,21.520052446273766,2.0
52.896,-348.49498582399445,148.7720985839503,1.2639933075956844,21.653851824283613,2.0
52.928000000000004,-349.1555372988385,148.981205209542,1.2639778144669156,21.651850312617608,2.0
52.96,-349.81598306205706,149.190281718121,1.263966207538768,21.648416591444853,2.0
52.992000000000004,-350.47633023893576,149.39932886412933,1.2639622028243662,21.645202338726058,2.0
53.024,-351.1365284201564,149.60832929518966,1.2639635116580274,21.640322613150047,2.0
53.056000000000004,-351.79660685042336,149.8172922593838,1.2639675866245408,21.636401444439354,2.0
53.088,-352.45655512466834,150.0262137890033,1.263972111138731,21.632132871162636,2.0
53.120000000000005,-353.11636010903953,150.23508921225468,1.2639753964956508,21.627428947767246,2.0
53.152,-353.7760585828593,150.44393091026282,1.2639764298494716,21.62393757540108,2.0
53.184000000000005,-354.43563269048303,150.65273442318548,1.2639748071262078,21.619872160935575,2.0
53.216,-355.0950055234122,150.86147607904437,1.2639708076904197,21.613292143366483,2.0
53.248000000000005,-355.7541637284327,151.07015222307248,1.2639647756438455,21.606279837392076,2.0
53.28,-356.4130946456849,151.27875995324885,1.2639569325239497,21.598863000076047,2.0
53.312,-357.07178675891066,151.48729664787996,1.2639475349344653,21.591078348089532,2.0
53.344,-357.73009331084876,151.69571638343027,1.2639371445204868,21.578488263004733,2.0
53.376,-358.38801128018525,151.9040188575662,1.2639263938578094,21.565805344693075,2.0
53.408,-359.04553757177956,152.11220384529534,1.263915158776012,21.553028112322497,2.0
53.44,-359.70256703828653,152.32023872011152,1.263903576478375,21.53681055312133,2.0
53.472,-360.3591873820827,152.52815185161938,1.2638916438624854,21.523473460411108,2.0
53.504,-361.0153998573495,152.73594387493358,1.2638787476052058,21.510179726089273,2.0
53.536,-361.6712025255849,152.94361489771617,1.2638648633095293,21.496829256257765,2.0
53.568,-362.3266411813378,153.1511800430921,1.2638500477525063,21.48498576122856,2.0
53.6,-362.98179346943414,153.35866419286936,1.2638341086948683,21.47569018568158,2.0
53.632,-363.6365083934876,153.56601968767407,1.263817445771869,21.46144653961507,2.0
53.664,-364.2907907913752,153.77324876728284,1.2638011073295112,21.447368151922827,2.0
53.696,-364.9446460197833,153.98035322475872,1.2637852703707944,21.43346626525601,2.0
53.728,-365.5980526741002,154.18732620434645,1.2637699208704298,21.418862019501198,2.0
53.76,-366.25110236402764,154.39419684441705,1.2637548435246921,21.407261884780304,2.0
53.792,-366.90379835453246,154.60096607150433,1.2637397002627486,21.395767768523328,2.0
53.824,-367.5561447998579,154.8076351368833,1.2637246252143524,21.384409226649446,2.0
53.856,-368.2124455698586,155.0155711362503,1.2636985097077005,21.514169923474412,2.0
53.888,-368.87364420681223,155.22508901783226,1.263650747264146,21.675014260897456,2.0
53.92,-369.54005059422883,155.4362755100471,1.2635809345248394,21.84590860942869,2.0
53.952,-370.2118026582776,155.64917141993084,1.2634954835770347,22.02129534507561,2.0
53.984,-370.88898491773205,155.86380322685318,1.2634036169748613,22.19944797490807,2.0
54.016,-371.5716567635649,156.08018980996104,1.2633124820888697,22.37954668826947,2.0
54.048,-372.25983810494114,156.29834229944805,1.2632190820792226,22.56034290830146,2.0
54.08,-372.9462408877561,156.5158872864275,1.2631841564922353,22.501618904473105,2.0
54.112,-373.63116889768327,156.73296778194097,1.263223124114105,22.45330362928422,2.0
54.144,-374.31485763632276,156.9496491939155,1.2633151365473874,22.412623485323365,2.0
54.176,-374.9974624937266,157.16597401800198,1.2634330893031673,22.376972307405858,2.0
54.208,-375.6839096708662,157.383503662818,1.263541557802416,22.50280243908228,2.0
54.24,-376.3690614832983,157.60060108757855,1.2636232503374687,22.460135626919843,2.0
54.272,-377.0529796566292,157.81730172639803,1.2637017838930573,22.419640274139777,2.0
54.304,-377.7356922846846,158.03361561621622,1.2637756620541165,22.380075230988837,2.0
54.336,-378.41712460385565,158.2495217420866,1.263839448652709,22.338083842098673,2.0
54.368,-379.09739097517564,158.46505984060545,1.263889346955476,22.299873887541647,2.0
54.4,-379.7763758141966,158.68019518997485,1.2639235145198053,22.257893217137827,2.0
54.432,-380.45402379836787,158.89491249948927,1.2639426307065744,22.2141205805817,2.0
